artist,song,H_or_N,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Fuerza Regida & Marshmello,Harley Quinn,H,spotify:track:6sMPFkWOGqEGBqnHEZ2jfy,0.795,0.762,5,-5.482,0,0.111,0.0643,0.00461,0.261,0.638,125.044,audio_features,6sMPFkWOGqEGBqnHEZ2jfy,spotify:track:6sMPFkWOGqEGBqnHEZ2jfy,https://api.spotify.com/v1/tracks/6sMPFkWOGqEGBqnHEZ2jfy,https://api.spotify.com/v1/audio-analysis/6sMPFkWOGqEGBqnHEZ2jfy,143327,4
Parker McCollum,Burn It Down,H,spotify:track:4bARASJEokNacSYtEhoNBp,0.484,0.753,2,-5.23,1,0.0503,0.11,5.95e-06,0.193,0.281,80.995,audio_features,4bARASJEokNacSYtEhoNBp,spotify:track:4bARASJEokNacSYtEhoNBp,https://api.spotify.com/v1/tracks/4bARASJEokNacSYtEhoNBp,https://api.spotify.com/v1/audio-analysis/4bARASJEokNacSYtEhoNBp,216673,4
Peso Pluma & Anitta,Bellakeo,H,spotify:track:05WVKTdZhlIMX4qqMLuo0f,0.72,0.88,9,-2.834,1,0.101,0.0562,0.06,0.153,0.463,180.011,audio_features,05WVKTdZhlIMX4qqMLuo0f,spotify:track:05WVKTdZhlIMX4qqMLuo0f,https://api.spotify.com/v1/tracks/05WVKTdZhlIMX4qqMLuo0f,https://api.spotify.com/v1/audio-analysis/05WVKTdZhlIMX4qqMLuo0f,197333,4
Xavi,La Victima,H,spotify:track:1TEKUj8c5iyRNUUxo9SdSD,0.756,0.812,4,-3.483,0,0.0538,0.182,0.0,0.227,0.571,134.887,audio_features,1TEKUj8c5iyRNUUxo9SdSD,spotify:track:1TEKUj8c5iyRNUUxo9SdSD,https://api.spotify.com/v1/tracks/1TEKUj8c5iyRNUUxo9SdSD,https://api.spotify.com/v1/audio-analysis/1TEKUj8c5iyRNUUxo9SdSD,220298,3
Sabrina Carpenter,Feather,H,spotify:track:2Zo1PcszsT9WQ0ANntJbID,0.787,0.686,6,-4.37,0,0.0339,0.0893,0.0,0.0927,0.836,123.51,audio_features,2Zo1PcszsT9WQ0ANntJbID,spotify:track:2Zo1PcszsT9WQ0ANntJbID,https://api.spotify.com/v1/tracks/2Zo1PcszsT9WQ0ANntJbID,https://api.spotify.com/v1/audio-analysis/2Zo1PcszsT9WQ0ANntJbID,185553,4
Lil Tecca,500lbs,H,spotify:track:6rjuKpPydT2SxN15TZpV7r,0.722,0.785,7,-5.451,0,0.0763,0.0942,0.0,0.119,0.529,122.986,audio_features,6rjuKpPydT2SxN15TZpV7r,spotify:track:6rjuKpPydT2SxN15TZpV7r,https://api.spotify.com/v1/tracks/6rjuKpPydT2SxN15TZpV7r,https://api.spotify.com/v1/audio-analysis/6rjuKpPydT2SxN15TZpV7r,144390,4
Karol G & Peso Pluma,Qlona,H,spotify:track:5RqSsdzTNPX1uzkmlHCFvK,0.841,0.738,7,-7.455,0,0.307,0.52,0.0,0.0892,0.484,169.918,audio_features,5RqSsdzTNPX1uzkmlHCFvK,spotify:track:5RqSsdzTNPX1uzkmlHCFvK,https://api.spotify.com/v1/tracks/5RqSsdzTNPX1uzkmlHCFvK,https://api.spotify.com/v1/audio-analysis/5RqSsdzTNPX1uzkmlHCFvK,172798,4
Kane Brown,I Can Feel It,H,spotify:track:2eGvz6O6tVnh9nKiitDEhZ,0.529,0.866,3,-5.816,0,0.0452,0.00281,0.00526,0.0287,0.55,116.004,audio_features,2eGvz6O6tVnh9nKiitDEhZ,spotify:track:2eGvz6O6tVnh9nKiitDEhZ,https://api.spotify.com/v1/tracks/2eGvz6O6tVnh9nKiitDEhZ,https://api.spotify.com/v1/audio-analysis/2eGvz6O6tVnh9nKiitDEhZ,163600,4
Zach Bryan Featuring The War And Treaty,Hey Driver,H,spotify:track:4pCbJC43j3gSqG6Fen6upD,0.583,0.351,0,-5.836,1,0.0306,0.494,0.0,0.368,0.462,79.014,audio_features,4pCbJC43j3gSqG6Fen6upD,spotify:track:4pCbJC43j3gSqG6Fen6upD,https://api.spotify.com/v1/tracks/4pCbJC43j3gSqG6Fen6upD,https://api.spotify.com/v1/audio-analysis/4pCbJC43j3gSqG6Fen6upD,227467,4
Taylor Swift,You're Losing Me (From The Vault),H,spotify:track:3CWq0pAKKTWb0K4yiglDc4,0.747,0.391,0,-13.767,1,0.052,0.529,0.003,0.111,0.195,102.984,audio_features,3CWq0pAKKTWb0K4yiglDc4,spotify:track:3CWq0pAKKTWb0K4yiglDc4,https://api.spotify.com/v1/tracks/3CWq0pAKKTWb0K4yiglDc4,https://api.spotify.com/v1/audio-analysis/3CWq0pAKKTWb0K4yiglDc4,277832,4
George Birge,Mind On You,H,spotify:track:1eoapzLQuYBDRDaHQuxXc4,0.605,0.836,1,-4.94,1,0.0272,0.11,0.0,0.17,0.587,130.089,audio_features,1eoapzLQuYBDRDaHQuxXc4,spotify:track:1eoapzLQuYBDRDaHQuxXc4,https://api.spotify.com/v1/tracks/1eoapzLQuYBDRDaHQuxXc4,https://api.spotify.com/v1/audio-analysis/1eoapzLQuYBDRDaHQuxXc4,201923,4
Olivia Rodrigo,Can't Catch Me Now,H,spotify:track:56xHMIfQPoe0prrSi3BGhf,0.521,0.366,11,-7.698,0,0.034,0.838,4.11e-06,0.12,0.225,141.965,audio_features,56xHMIfQPoe0prrSi3BGhf,spotify:track:56xHMIfQPoe0prrSi3BGhf,https://api.spotify.com/v1/tracks/56xHMIfQPoe0prrSi3BGhf,https://api.spotify.com/v1/audio-analysis/56xHMIfQPoe0prrSi3BGhf,205484,4
Riley Green Featuring Luke Combs,Different 'Round Here,H,spotify:track:4l5w5qGInIhwfvpYmPIYdK,0.457,0.725,1,-5.979,1,0.0318,8.66e-05,0.000126,0.13,0.318,141.936,audio_features,4l5w5qGInIhwfvpYmPIYdK,spotify:track:4l5w5qGInIhwfvpYmPIYdK,https://api.spotify.com/v1/tracks/4l5w5qGInIhwfvpYmPIYdK,https://api.spotify.com/v1/audio-analysis/4l5w5qGInIhwfvpYmPIYdK,174992,4
Maluma & Carin Leon,Segun Quien,H,spotify:track:5D9bNDHnGzL8ZcwBty5db4,0.662,0.519,8,-5.4,1,0.0369,0.476,0.0,0.1,0.951,140.034,audio_features,5D9bNDHnGzL8ZcwBty5db4,spotify:track:5D9bNDHnGzL8ZcwBty5db4,https://api.spotify.com/v1/tracks/5D9bNDHnGzL8ZcwBty5db4,https://api.spotify.com/v1/audio-analysis/5D9bNDHnGzL8ZcwBty5db4,159518,4
Morgan Wallen Featuring Eric Church,Man Made A Bar,H,spotify:track:73zawW1ttszLRgT9By826D,0.498,0.764,4,-5.006,1,0.0309,0.123,3.07e-05,0.119,0.489,147.984,audio_features,73zawW1ttszLRgT9By826D,spotify:track:73zawW1ttszLRgT9By826D,https://api.spotify.com/v1/tracks/73zawW1ttszLRgT9By826D,https://api.spotify.com/v1/audio-analysis/73zawW1ttszLRgT9By826D,191231,4
Grupo Frontera & Grupo Firme,El Amor de Su Vida,H,spotify:track:0O3U5iwTbiXCREMkvotJuN,0.616,0.834,9,-3.069,1,0.0664,0.06,0.0,0.338,0.746,151.701,audio_features,0O3U5iwTbiXCREMkvotJuN,spotify:track:0O3U5iwTbiXCREMkvotJuN,https://api.spotify.com/v1/tracks/0O3U5iwTbiXCREMkvotJuN,https://api.spotify.com/v1/audio-analysis/0O3U5iwTbiXCREMkvotJuN,165848,4
310babii,Soak City (Do It),H,spotify:track:0fovhQJ0JFYYSP4ZrCLZHm,0.782,0.553,5,-14.073,0,0.0475,0.312,6.83e-06,0.203,0.712,122.398,audio_features,0fovhQJ0JFYYSP4ZrCLZHm,spotify:track:0fovhQJ0JFYYSP4ZrCLZHm,https://api.spotify.com/v1/tracks/0fovhQJ0JFYYSP4ZrCLZHm,https://api.spotify.com/v1/audio-analysis/0fovhQJ0JFYYSP4ZrCLZHm,103146,4
"The Weeknd, JENNIE & Lily Rose Depp",One Of The Girls,H,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,0.522,0.641,8,-6.287,1,0.0318,0.0545,0.0,0.162,0.202,87.51,audio_features,7CyPwkp0oE8Ro9Dd5CUDjW,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,https://api.spotify.com/v1/tracks/7CyPwkp0oE8Ro9Dd5CUDjW,https://api.spotify.com/v1/audio-analysis/7CyPwkp0oE8Ro9Dd5CUDjW,244685,4
Jung Kook,Standing Next To You,H,spotify:track:2KslE17cAJNHTsI2MI0jb2,0.711,0.809,2,-4.389,0,0.0955,0.0447,0.0,0.339,0.816,106.017,audio_features,2KslE17cAJNHTsI2MI0jb2,spotify:track:2KslE17cAJNHTsI2MI0jb2,https://api.spotify.com/v1/tracks/2KslE17cAJNHTsI2MI0jb2,https://api.spotify.com/v1/audio-analysis/2KslE17cAJNHTsI2MI0jb2,206020,4
Chayce Beckham,23,H,spotify:track:1ZpPaBDswjV3VSUKqLDXPE,0.626,0.583,0,-7.346,0,0.0318,0.276,0.0,0.141,0.428,87.977,audio_features,1ZpPaBDswjV3VSUKqLDXPE,spotify:track:1ZpPaBDswjV3VSUKqLDXPE,https://api.spotify.com/v1/tracks/1ZpPaBDswjV3VSUKqLDXPE,https://api.spotify.com/v1/audio-analysis/1ZpPaBDswjV3VSUKqLDXPE,228145,4
Bad Bunny & Feid,Perro Negro,H,spotify:track:7iQXYTyuG13aoeHxGG28Nh,0.911,0.778,5,-2.248,1,0.262,0.0887,2.16e-05,0.179,0.345,96.057,audio_features,7iQXYTyuG13aoeHxGG28Nh,spotify:track:7iQXYTyuG13aoeHxGG28Nh,https://api.spotify.com/v1/tracks/7iQXYTyuG13aoeHxGG28Nh,https://api.spotify.com/v1/audio-analysis/7iQXYTyuG13aoeHxGG28Nh,162768,4
Carly Pearce Featuring Chris Stapleton,We Don't Fight Anymore,H,spotify:track:2dPwBKr5uJeCeyd5IoWi8W,0.619,0.564,4,-6.517,1,0.0302,0.673,0.0,0.184,0.419,129.944,audio_features,2dPwBKr5uJeCeyd5IoWi8W,spotify:track:2dPwBKr5uJeCeyd5IoWi8W,https://api.spotify.com/v1/tracks/2dPwBKr5uJeCeyd5IoWi8W,https://api.spotify.com/v1/audio-analysis/2dPwBKr5uJeCeyd5IoWi8W,220146,4
Calle 24 x Chino Pacas x Fuerza Regida,Que Onda,H,spotify:track:6uIIdjYTxxpWOyWuVXrKQO,0.808,0.944,10,-4.863,0,0.0408,0.183,1.11e-06,0.138,0.937,124.934,audio_features,6uIIdjYTxxpWOyWuVXrKQO,spotify:track:6uIIdjYTxxpWOyWuVXrKQO,https://api.spotify.com/v1/tracks/6uIIdjYTxxpWOyWuVXrKQO,https://api.spotify.com/v1/audio-analysis/6uIIdjYTxxpWOyWuVXrKQO,191467,3
Zach Bryan,Oklahoma Smokeshow,H,spotify:track:0OWhKvvsHptt6vnnNUSM9a,0.544,0.573,8,-5.694,1,0.0356,0.0958,0.0,0.104,0.233,122.977,audio_features,0OWhKvvsHptt6vnnNUSM9a,spotify:track:0OWhKvvsHptt6vnnNUSM9a,https://api.spotify.com/v1/tracks/0OWhKvvsHptt6vnnNUSM9a,https://api.spotify.com/v1/audio-analysis/0OWhKvvsHptt6vnnNUSM9a,211739,4
The Red Clay Strays,Wondering Why,H,spotify:track:1OG7o5af3ILKrFkp7pvvb0,0.524,0.209,4,-12.437,1,0.0405,0.85,0.0,0.173,0.347,148.59,audio_features,1OG7o5af3ILKrFkp7pvvb0,spotify:track:1OG7o5af3ILKrFkp7pvvb0,https://api.spotify.com/v1/tracks/1OG7o5af3ILKrFkp7pvvb0,https://api.spotify.com/v1/audio-analysis/1OG7o5af3ILKrFkp7pvvb0,232918,3
BigXthaPlug,Mmhmm,H,spotify:track:4QTlxavdQGUVitxAvQqqkU,0.93,0.682,9,-8.799,1,0.331,0.028,0.0,0.129,0.962,126.003,audio_features,4QTlxavdQGUVitxAvQqqkU,spotify:track:4QTlxavdQGUVitxAvQqqkU,https://api.spotify.com/v1/tracks/4QTlxavdQGUVitxAvQqqkU,https://api.spotify.com/v1/audio-analysis/4QTlxavdQGUVitxAvQqqkU,119016,4
Rod Wave,Great Gatsby,H,spotify:track:1yW00C89gUWPvUh5fkyzz4,0.749,0.635,5,-5.075,0,0.168,0.0105,2.17e-06,0.0854,0.508,130.011,audio_features,1yW00C89gUWPvUh5fkyzz4,spotify:track:1yW00C89gUWPvUh5fkyzz4,https://api.spotify.com/v1/tracks/1yW00C89gUWPvUh5fkyzz4,https://api.spotify.com/v1/audio-analysis/1yW00C89gUWPvUh5fkyzz4,240733,4
Travis Scott Featuring Playboi Carti,FE!N,H,spotify:track:42VsgItocQwOQC3XWZ8JNA,0.569,0.882,3,-2.777,0,0.06,0.0316,0.0,0.142,0.201,148.038,audio_features,42VsgItocQwOQC3XWZ8JNA,spotify:track:42VsgItocQwOQC3XWZ8JNA,https://api.spotify.com/v1/tracks/42VsgItocQwOQC3XWZ8JNA,https://api.spotify.com/v1/audio-analysis/42VsgItocQwOQC3XWZ8JNA,191701,4
Olivia Rodrigo,Bad Idea Right?,H,spotify:track:3IX0yuEVvDbnqUwMBB3ouC,0.627,0.879,9,-3.446,1,0.0955,0.00193,6.87e-06,0.0647,0.748,129.979,audio_features,3IX0yuEVvDbnqUwMBB3ouC,spotify:track:3IX0yuEVvDbnqUwMBB3ouC,https://api.spotify.com/v1/tracks/3IX0yuEVvDbnqUwMBB3ouC,https://api.spotify.com/v1/audio-analysis/3IX0yuEVvDbnqUwMBB3ouC,184784,4
"Peso Pluma, Junior H & Oscar Maydon",Rompe La Dompe,H,spotify:track:2OWv3lRR8PtOVuHWzQNRs2,0.757,0.642,2,-7.966,0,0.0369,0.607,0.0355,0.169,0.759,130.098,audio_features,2OWv3lRR8PtOVuHWzQNRs2,spotify:track:2OWv3lRR8PtOVuHWzQNRs2,https://api.spotify.com/v1/tracks/2OWv3lRR8PtOVuHWzQNRs2,https://api.spotify.com/v1/audio-analysis/2OWv3lRR8PtOVuHWzQNRs2,165635,3
Dylan Scott,Can't Have Mine,H,spotify:track:3jfywRZH6cB2iLyKqo4EZd,0.663,0.502,5,-7.07,1,0.0285,0.791,0.0,0.105,0.371,143.969,audio_features,3jfywRZH6cB2iLyKqo4EZd,spotify:track:3jfywRZH6cB2iLyKqo4EZd,https://api.spotify.com/v1/tracks/3jfywRZH6cB2iLyKqo4EZd,https://api.spotify.com/v1/audio-analysis/3jfywRZH6cB2iLyKqo4EZd,183087,4
Nicki Minaj Featuring Drake,Needle,H,spotify:track:0I89140kBBWb1e1JeA06sb,0.803,0.589,7,-7.366,1,0.117,0.298,0.000857,0.137,0.34,109.993,audio_features,0I89140kBBWb1e1JeA06sb,spotify:track:0I89140kBBWb1e1JeA06sb,https://api.spotify.com/v1/tracks/0I89140kBBWb1e1JeA06sb,https://api.spotify.com/v1/audio-analysis/0I89140kBBWb1e1JeA06sb,235689,4
Drake,Virginia Beach,H,spotify:track:3eP13S8D5m2cweMEg3ZDed,0.402,0.514,1,-7.322,0,0.0471,0.106,0.0,0.181,0.2,120.009,audio_features,3eP13S8D5m2cweMEg3ZDed,spotify:track:3eP13S8D5m2cweMEg3ZDed,https://api.spotify.com/v1/tracks/3eP13S8D5m2cweMEg3ZDed,https://api.spotify.com/v1/audio-analysis/3eP13S8D5m2cweMEg3ZDed,251095,4
Oliver Anthony Music,Rich Men North Of Richmond,H,spotify:track:78Du4CMFgnhdlG33gblkiP,0.678,0.264,10,-12.384,1,0.0622,0.753,0.0,0.302,0.528,121.722,audio_features,78Du4CMFgnhdlG33gblkiP,spotify:track:78Du4CMFgnhdlG33gblkiP,https://api.spotify.com/v1/tracks/78Du4CMFgnhdlG33gblkiP,https://api.spotify.com/v1/audio-analysis/78Du4CMFgnhdlG33gblkiP,187244,4
Noah Kahan With Hozier,Northern Attitude,H,spotify:track:3BqvSMpXIXHuLUFQgXL4K5,0.489,0.65,3,-8.024,1,0.055,0.131,6.93e-05,0.106,0.273,121.92,audio_features,3BqvSMpXIXHuLUFQgXL4K5,spotify:track:3BqvSMpXIXHuLUFQgXL4K5,https://api.spotify.com/v1/tracks/3BqvSMpXIXHuLUFQgXL4K5,https://api.spotify.com/v1/audio-analysis/3BqvSMpXIXHuLUFQgXL4K5,267256,4
Taylor Swift,Now That We Don't Talk (Taylor's Version) [From The Vault],H,spotify:track:5KD6AEm19QnMbfWpfoOHMl,0.793,0.512,0,-9.319,1,0.0338,0.186,3.81e-05,0.0889,0.0662,109.994,audio_features,5KD6AEm19QnMbfWpfoOHMl,spotify:track:5KD6AEm19QnMbfWpfoOHMl,https://api.spotify.com/v1/tracks/5KD6AEm19QnMbfWpfoOHMl,https://api.spotify.com/v1/audio-analysis/5KD6AEm19QnMbfWpfoOHMl,146437,4
"Juice WRLD, Eminem & benny blanco",Lace It,H,spotify:track:0hitTdEb4YohfxjOhdcIMi,0.771,0.594,4,-7.052,0,0.312,0.236,0.0,0.253,0.241,160.112,audio_features,0hitTdEb4YohfxjOhdcIMi,spotify:track:0hitTdEb4YohfxjOhdcIMi,https://api.spotify.com/v1/tracks/0hitTdEb4YohfxjOhdcIMi,https://api.spotify.com/v1/audio-analysis/0hitTdEb4YohfxjOhdcIMi,217501,4
Karol G,Mi Ex Tenia Razon,H,spotify:track:54zcJnb3tp9c5OVKREZ1Is,0.634,0.725,5,-4.945,0,0.0587,0.0776,0.0,0.211,0.795,159.845,audio_features,54zcJnb3tp9c5OVKREZ1Is,spotify:track:54zcJnb3tp9c5OVKREZ1Is,https://api.spotify.com/v1/tracks/54zcJnb3tp9c5OVKREZ1Is,https://api.spotify.com/v1/audio-analysis/54zcJnb3tp9c5OVKREZ1Is,154375,4
Tate McRae,Run For The Hills,H,spotify:track:51hyZpbJlIgZIaX3TtMxmu,0.544,0.831,8,-3.578,1,0.0941,0.543,0.0,0.118,0.233,130.005,audio_features,51hyZpbJlIgZIaX3TtMxmu,spotify:track:51hyZpbJlIgZIaX3TtMxmu,https://api.spotify.com/v1/tracks/51hyZpbJlIgZIaX3TtMxmu,https://api.spotify.com/v1/audio-analysis/51hyZpbJlIgZIaX3TtMxmu,143940,4
Drake Featuring SZA,Slime You Out,H,spotify:track:3RaCGXCiiMufRPoexXxGkV,0.483,0.408,5,-9.243,0,0.0502,0.508,0.0,0.259,0.105,88.88,audio_features,3RaCGXCiiMufRPoexXxGkV,spotify:track:3RaCGXCiiMufRPoexXxGkV,https://api.spotify.com/v1/tracks/3RaCGXCiiMufRPoexXxGkV,https://api.spotify.com/v1/audio-analysis/3RaCGXCiiMufRPoexXxGkV,310491,3
*NSYNC,Better Place,H,spotify:track:1bHnRc60O1N0l3PbHjaKyK,0.579,0.556,4,-6.277,0,0.0511,0.0214,0.0,0.0904,0.558,116.943,audio_features,1bHnRc60O1N0l3PbHjaKyK,spotify:track:1bHnRc60O1N0l3PbHjaKyK,https://api.spotify.com/v1/tracks/1bHnRc60O1N0l3PbHjaKyK,https://api.spotify.com/v1/audio-analysis/1bHnRc60O1N0l3PbHjaKyK,216667,4
Zach Bryan,"Burn, Burn, Burn",H,spotify:track:5jfhLCSIFUO4ndzNRh4w4G,0.508,0.296,3,-10.513,1,0.0755,0.897,5e-05,0.11,0.134,82.532,audio_features,5jfhLCSIFUO4ndzNRh4w4G,spotify:track:5jfhLCSIFUO4ndzNRh4w4G,https://api.spotify.com/v1/tracks/5jfhLCSIFUO4ndzNRh4w4G,https://api.spotify.com/v1/audio-analysis/5jfhLCSIFUO4ndzNRh4w4G,268856,4
Travis Scott,My Eyes,H,spotify:track:4kjI1gwQZRKNDkw1nI475M,0.455,0.621,0,-7.694,0,0.0517,0.651,2.59e-06,0.123,0.28,119.043,audio_features,4kjI1gwQZRKNDkw1nI475M,spotify:track:4kjI1gwQZRKNDkw1nI475M,https://api.spotify.com/v1/tracks/4kjI1gwQZRKNDkw1nI475M,https://api.spotify.com/v1/audio-analysis/4kjI1gwQZRKNDkw1nI475M,251250,4
Rod Wave Featuring 21 Savage,Turks & Caicos,H,spotify:track:50gOifsqaejpDNU36PreB0,0.536,0.642,0,-7.159,1,0.175,0.0775,2.05e-06,0.235,0.304,102.201,audio_features,50gOifsqaejpDNU36PreB0,spotify:track:50gOifsqaejpDNU36PreB0,https://api.spotify.com/v1/tracks/50gOifsqaejpDNU36PreB0,https://api.spotify.com/v1/audio-analysis/50gOifsqaejpDNU36PreB0,203346,5
Zach Bryan,Tourniquet,H,spotify:track:4pCbJC43j3gSqG6Fen6upD,0.583,0.351,0,-5.836,1,0.0306,0.494,0.0,0.368,0.462,79.014,audio_features,4pCbJC43j3gSqG6Fen6upD,spotify:track:4pCbJC43j3gSqG6Fen6upD,https://api.spotify.com/v1/tracks/4pCbJC43j3gSqG6Fen6upD,https://api.spotify.com/v1/audio-analysis/4pCbJC43j3gSqG6Fen6upD,227467,4
Junior H,Y Lloro,H,spotify:track:6RcAHyC5sAUIbPTkhOQwd8,0.728,0.589,7,-7.115,1,0.0376,0.424,7.78e-06,0.166,0.767,77.475,audio_features,6RcAHyC5sAUIbPTkhOQwd8,spotify:track:6RcAHyC5sAUIbPTkhOQwd8,https://api.spotify.com/v1/tracks/6RcAHyC5sAUIbPTkhOQwd8,https://api.spotify.com/v1/audio-analysis/6RcAHyC5sAUIbPTkhOQwd8,179013,4
Sophie Ellis-Bextor,Murder On The Dancefloor,H,spotify:track:4tKGFmENO69tZR9ahgZu48,0.73,0.849,1,-5.281,0,0.0299,0.00234,2.6e-05,0.312,0.887,117.31,audio_features,4tKGFmENO69tZR9ahgZu48,spotify:track:4tKGFmENO69tZR9ahgZu48,https://api.spotify.com/v1/tracks/4tKGFmENO69tZR9ahgZu48,https://api.spotify.com/v1/audio-analysis/4tKGFmENO69tZR9ahgZu48,230013,4
Karol G,Amargura,H,spotify:track:505v13epFXodT9fVAJ6h8k,0.92,0.696,6,-3.356,0,0.0742,0.183,0.0,0.149,0.545,106.966,audio_features,505v13epFXodT9fVAJ6h8k,spotify:track:505v13epFXodT9fVAJ6h8k,https://api.spotify.com/v1/tracks/505v13epFXodT9fVAJ6h8k,https://api.spotify.com/v1/audio-analysis/505v13epFXodT9fVAJ6h8k,170480,4
Lainey Wilson,Wildflowers And Wild Horses,H,spotify:track:6d3QUBsiAw3aZI6F2mMhzk,0.442,0.644,10,-5.787,0,0.0378,0.347,1.73e-06,0.128,0.34,117.379,audio_features,6d3QUBsiAw3aZI6F2mMhzk,spotify:track:6d3QUBsiAw3aZI6F2mMhzk,https://api.spotify.com/v1/tracks/6d3QUBsiAw3aZI6F2mMhzk,https://api.spotify.com/v1/audio-analysis/6d3QUBsiAw3aZI6F2mMhzk,216573,4
