artist,song,H_or_N,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Nate Smith,World On Fire,H,spotify:track:5ya0TmUQw2wHMkq36rPsnd,0.461,0.887,11,-4.871,0,0.0429,0.000219,0.0,0.104,0.411,95.964,audio_features,5ya0TmUQw2wHMkq36rPsnd,spotify:track:5ya0TmUQw2wHMkq36rPsnd,https://api.spotify.com/v1/tracks/5ya0TmUQw2wHMkq36rPsnd,https://api.spotify.com/v1/audio-analysis/5ya0TmUQw2wHMkq36rPsnd,189987,4
Dua Lipa,Houdini,H,spotify:track:4OMJGnvZfDvsePyCwRGO7X,0.744,0.789,9,-4.876,0,0.059,0.0036,0.00144,0.0947,0.866,116.985,audio_features,4OMJGnvZfDvsePyCwRGO7X,spotify:track:4OMJGnvZfDvsePyCwRGO7X,https://api.spotify.com/v1/tracks/4OMJGnvZfDvsePyCwRGO7X,https://api.spotify.com/v1/audio-analysis/4OMJGnvZfDvsePyCwRGO7X,185918,4
Nicki Minaj Featuring Lil Uzi Vert,Everybody,H,spotify:track:5ZJGv7aGdIr9IGpxzSG18T,0.736,0.769,11,-5.546,0,0.258,0.027,0.0,0.23,0.388,137.947,audio_features,5ZJGv7aGdIr9IGpxzSG18T,spotify:track:5ZJGv7aGdIr9IGpxzSG18T,https://api.spotify.com/v1/tracks/5ZJGv7aGdIr9IGpxzSG18T,https://api.spotify.com/v1/audio-analysis/5ZJGv7aGdIr9IGpxzSG18T,180870,4
Jelly Roll With Lainey Wilson,Save Me,H,spotify:track:30LZU3ReFIndjHLfaahreM,0.564,0.612,0,-5.018,1,0.0248,0.382,0.0,0.11,0.146,83.03,audio_features,30LZU3ReFIndjHLfaahreM,spotify:track:30LZU3ReFIndjHLfaahreM,https://api.spotify.com/v1/tracks/30LZU3ReFIndjHLfaahreM,https://api.spotify.com/v1/audio-analysis/30LZU3ReFIndjHLfaahreM,237493,3
Drake Featuring J. Cole,First Person Shooter,H,spotify:track:7aqfrAY2p9BUSiupwk3svU,0.47,0.64,2,-7.779,1,0.32,0.0277,0.0,0.382,0.248,163.92,audio_features,7aqfrAY2p9BUSiupwk3svU,spotify:track:7aqfrAY2p9BUSiupwk3svU,https://api.spotify.com/v1/tracks/7aqfrAY2p9BUSiupwk3svU,https://api.spotify.com/v1/audio-analysis/7aqfrAY2p9BUSiupwk3svU,247444,4
Miley Cyrus,Used To Be Young,H,spotify:track:0Nfh4u0J4bajcyp5pzaWCx,0.451,0.632,4,-3.843,1,0.0475,0.6,0.0,0.139,0.455,147.06,audio_features,0Nfh4u0J4bajcyp5pzaWCx,spotify:track:0Nfh4u0J4bajcyp5pzaWCx,https://api.spotify.com/v1/tracks/0Nfh4u0J4bajcyp5pzaWCx,https://api.spotify.com/v1/audio-analysis/0Nfh4u0J4bajcyp5pzaWCx,190461,4
SZA,Kill Bill,H,spotify:track:2ty6DmPnxVPpEFuB23XM0x,0.678,0.798,10,-5.195,1,0.0316,0.0383,0.269,0.126,0.509,99.941,audio_features,2ty6DmPnxVPpEFuB23XM0x,spotify:track:2ty6DmPnxVPpEFuB23XM0x,https://api.spotify.com/v1/tracks/2ty6DmPnxVPpEFuB23XM0x,https://api.spotify.com/v1/audio-analysis/2ty6DmPnxVPpEFuB23XM0x,137528,4
"Usher, Summer Walker & 21 Savage",Good Good,H,spotify:track:0J1YRLYhTG1MBosjidD7OI,0.753,0.669,7,-4.914,0,0.104,0.0378,0.0,0.122,0.584,140.948,audio_features,0J1YRLYhTG1MBosjidD7OI,spotify:track:0J1YRLYhTG1MBosjidD7OI,https://api.spotify.com/v1/tracks/0J1YRLYhTG1MBosjidD7OI,https://api.spotify.com/v1/audio-analysis/0J1YRLYhTG1MBosjidD7OI,247469,4
Warren Zeiders,Pretty Little Poison,H,spotify:track:0MIp9iBm1V41ERxkZnmSUG,0.494,0.567,1,-4.156,1,0.0334,0.0235,2.4e-06,0.146,0.22,112.011,audio_features,0MIp9iBm1V41ERxkZnmSUG,spotify:track:0MIp9iBm1V41ERxkZnmSUG,https://api.spotify.com/v1/tracks/0MIp9iBm1V41ERxkZnmSUG,https://api.spotify.com/v1/audio-analysis/0MIp9iBm1V41ERxkZnmSUG,218260,3
Xavi,La Diabla,H,spotify:track:252UPuQsncbBFhTrx4Ytcc,0.859,0.747,0,-4.176,1,0.0623,0.461,1.14e-06,0.34,0.882,124.966,audio_features,252UPuQsncbBFhTrx4Ytcc,spotify:track:252UPuQsncbBFhTrx4Ytcc,https://api.spotify.com/v1/tracks/252UPuQsncbBFhTrx4Ytcc,https://api.spotify.com/v1/audio-analysis/252UPuQsncbBFhTrx4Ytcc,239027,4
Victoria Monet,On My Mama,H,spotify:track:7DswEZZthZ6piQpL25qGAM,0.675,0.546,4,-7.716,0,0.0511,0.556,0.00441,0.167,0.607,77.415,audio_features,7DswEZZthZ6piQpL25qGAM,spotify:track:7DswEZZthZ6piQpL25qGAM,https://api.spotify.com/v1/tracks/7DswEZZthZ6piQpL25qGAM,https://api.spotify.com/v1/audio-analysis/7DswEZZthZ6piQpL25qGAM,184258,4
